PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Cody Zeller,CHA,27,7'0,240,Indiana,USA,2013,1,4,58,11.1,7.1,1.5,8.3,11.00%,19.70%,20.10%,57.60%,11.10%,C-PF,4.75%,8.5,10.5,6' 10.75'',7' 0.25'',8' 10'',230,6' 10.75''
Collin Sexton,CLE,21,6'1,190,Alabama,USA,2018,1,8,65,20.8,3.1,3.0,9.2,2.80%,6.90%,26.40%,56.00%,14.60%,PG,5.60%,8.25,8.5,6' 0.5'',6' 1.5'',8' 2.5'',183,6' 7.25''
Cory Joseph,SAC,28,6'3,200,Texas,Canada,2011,1,29,64,6.3,2.5,3.4,0.4,2.40%,8.30%,12.80%,51.30%,19.90%,PG,9.70%,8.5,10.5,6' 2'',6' 3.25'',8' 3'',186.2,6' 5.5''
D.J. Augustin,ORL,32,5'11,183,Texas,USA,2008,1,9,49,10.4,2.2,4.6,2.0,1.40%,7.10%,18.40%,54.80%,28.00%,PG,8.10%,-,-,5' 10'',5' 11.5'',7' 10.5'',171.5,6' 3.5''
D.J. Wilson,MIL,24,6'10,231,Michigan,USA,2017,1,17,31,3.2,2.2,0.7,6.5,3.50%,16.90%,17.20%,47.60%,12.00%,PF,6.40%,9.25,10.25,6' 8.75'',6' 10.5'',9' 1.5'',234.4,7' 3''
DaQuan Jeffries,SAC,22,6'5,230,None,USA,Undrafted,Undrafted,Undrafted,6,1.2,0.2,0.2,5.7,3.60%,0.00%,13.70%,50.00%,6.70%,SF-PF,3.90%,9.5,10.25,6' 4'',6' 5'',8' 8'',215.6,6' 11.25''
Damian Jones,ATL,25,6'11,245,Vanderbilt,USA,2016,1,30,55,5.6,3.7,0.6,12.6,8.00%,15.30%,11.30%,71.20%,5.70%,C,6.55%,8.75,10.5,6' 10.25'',6' 11.5'',8' 11'',243.6,7' 3.75''
Damian Lillard,POR,29,6'2,195,Weber State,USA,2012,1,6,58,28.9,4.3,7.8,1.3,1.30%,9.10%,29.30%,61.90%,33.20%,PG,5.90%,8.75,9.75,6' 1.75'',6' 2.75'',7' 11.5'',188.8,6' 7.75''
Damyean Dotson,NYK,26,6'5,210,Houston,USA,2017,2,44,48,6.7,1.9,1.2,5.3,1.10%,9.10%,15.80%,52.70%,10.50%,SG-SF,5.30%,8.5,9.25,6' 4.5'',6' 5.5'',8' 4'',205.2,6' 9''
Daniel Gafford,CHI,21,6'10,234,Arkansas,USA,2019,2,38,43,5.1,2.5,0.5,1.9,8.10%,9.20%,13.10%,68.60%,5.10%,PF,5.90%,9.25,9.25,6' 9.25'',6' 10.5'',9' 2'',237.6,7' 2.25''
