PLAYER,TEAM,AGE,HEIGHT,WEIGHT,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Dewan Hernandez,TOR,23,6'10,235,C,6.10%,9.5,10.25,6' 9'',6' 10.25'',8' 11'',232.8,7' 1.75''
Dewayne Dedmon,ATL,30,7'0,245,C,8.35%,9,11,6' 10'',6' 11.5'',9' 1'',238.8,7' 4''
Dillon Brooks,MEM,24,6'7,225,SG-SF,7.50%,8.25,9.25,6' 5'',6' 6'',8' 4.5'',220.2,6' 6''
Dion Waiters,LAL,28,6'3,210,SG,8.50%,8.5,9.5,6' 2.5'',6' 4'',8' 2'',221,6' 7.25''
Donovan Mitchell,UTA,23,6'1,215,SG,5.90%,8.5,9.5,6' 1.25'',6' 3'',8' 1'',211.4,6' 10''
Donte DiVincenzo,MIL,23,6'4,203,SG,5.00%,8.25,9,6' 3.5'',6' 4.5'',8' 1.5'',200.6,6' 6''
Doug McDermott,IND,28,6'7,225,SF,7.10%,8.75,9.75,6' 6.25'',6' 7.75'',8' 7'',218,6' 9.25''
Draymond Green,GSW,30,6'6,230,PF-SF,11.30%,9,9.5,6' 5.75'',6' 7.5'',8' 9'',235.6,7' 1.25''
Dwayne Bacon,CHA,24,6'6,221,SG-SF,7.90%,8.75,10,6' 4.75'',6' 6.25'',8' 7.5'',221.6,6' 10''
Dwight Howard,LAL,34,6'10,265,PF-C,10.50%,-,-,6' 9'',6' 10.25'',9' 3.5'',240,7' 4.5''
Dwight Powell,DAL,28,6'10,240,PF,6.20%,9,9.25,6' 9.5'',6' 11'',8' 9'',234.4,7' 0.5''
E'Twaun Moore,NOP,31,6'3,191,SG,7.60%,9,10,6' 2.5'',6' 4'',8' 3.5'',191.4,6' 9.5''
Ed Davis,UTA,31,6'9,218,PF,10.00%,9.25,10,6' 9'',6' 9.75'',9' 0'',226.6,7' 0''
Edmond Sumner,IND,24,6'4,196,PG,8.30%,8.25,9,6' 4'',6' 5.75'',8' 6.5'',176.4,6' 9''
Elfrid Payton,NYK,26,6'3,195,PG,5.65%,8.75,9,6' 2.5'',6' 3.75'',8' 2.5'',185.4,6' 8''
Enes Kanter,BOS,28,6'10,250,PF-C,5.90%,9.5,10.75,6' 9.75'',6' 11.25'',9' 1.5'',259.2,7' 1.5''
Eric Bledsoe,MIL,30,6'1,214,PG,5.60%,8.5,9.75,6' 0.25'',6' 1.5'',8' 2'',191.6,6' 7.5''
Eric Gordon,HOU,31,6'3,215,SG,8.20%,-,-,6' 2'',6' 3.25'',8' 3'',222,6' 9''
Eric Paschall,GSW,23,6'6,255,SF,6.30%,9,9.5,6' 6'',6' 7.25'',8' 7.5'',254.4,6' 11.75''
Ersan Ilyasova,MIL,33,6'9,235,SF,-%,-,-,6' 7.75'',6' 9'',9' 1.5'',208.8,7' 1.25''
Evan Turner,MIN,31,6'6,220,SG,8.60%,8.75,9.5,6' 5.75'',6' 7'',8' 7.5'',213.8,6' 8''
Frank Jackson,NOP,22,6'3,205,PG,6.70%,8.25,9,6' 2'',6' 3.5'',8' 2'',201.6,6' 7.5''
Frank Kaminsky,PHX,27,7'0,240,C-PF,9.40%,8.5,9.5,6' 11.75'',7' 0.75'',9' 1.5'',231.2,6' 11''
Gary Harris,DEN,25,6'4,210,SG,4.55%,8.5,9.5,6' 2.5'',6' 4.5'',8' 0'',204.8,6' 6.75''
Gary Payton II,WAS,27,6'3,195,PG,3.95%,8.75,9.5,6' 2'',6' 3'',8' 3.5'',183.8,6' 8''
