PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Marc Gasol,TOR,35,11-Jun,255,None,Spain,2007,2,48,36,7.6,6.3,3.4,10.4,2.90%,18.00%,12.70%,54.60%,16.60%
Marco Belinelli,SAS,34,5-Jun,220,None,Italy,2007,1,18,52,5.8,1.7,1.2,1.9,0.50%,10.30%,16.10%,52.10%,10.60%
Marcus Morris Sr.,LAC,30,8-Jun,218,Kansas,USA,2011,1,14,55,17.4,5.1,1.4,-0.8,2.90%,12.80%,22.40%,56.70%,6.80%
Marcus Smart,BOS,26,3-Jun,220,Oklahoma State,USA,2014,1,6,53,13.5,3.8,4.8,6.7,2.10%,8.90%,18.70%,51.90%,21.40%
Marial Shayok,PHI,24,5-Jun,198,Iowa State,Canada,2019,2,54,2,1.5,1.5,0.5,-40,0.00%,27.30%,21.40%,30.00%,11.10%
Mario Hezonja,POR,25,8-Jun,220,None,Croatia,2015,1,5,47,4.8,3.4,0.9,-9,3.10%,15.40%,13.40%,53.20%,7.70%
Markelle Fultz,ORL,22,3-Jun,209,Washington,USA,2017,1,1,64,12.1,3.3,5.2,-1.5,1.80%,9.90%,20.50%,52.30%,27.00%
Markieff Morris,LAL,30,8-Jun,245,Kansas,USA,2011,1,13,52,10.1,3.8,1.4,-5.5,3.00%,14.40%,20.50%,56.80%,10.20%
Marko Guduric,MEM,25,6-Jun,201,None,Serbia,Undrafted,Undrafted,Undrafted,42,4,1.7,1.1,-3.3,2.80%,11.40%,16.90%,51.50%,12.90%
Marques Bolden,CLE,22,10-Jun,249,None,USA,Undrafted,Undrafted,Undrafted,1,0,2,0,57.1,0.00%,50.00%,0.00%,0.00%,0.00%
Marquese Chriss,GSW,22,9-Jun,240,Washington,USA,2016,1,8,59,9.3,6.2,1.9,-9.5,8.90%,21.20%,18.40%,60.40%,15.00%
Marvin Bagley III,SAC,21,11-Jun,235,Duke,USA,2018,1,2,13,14.2,7.5,0.8,-12.6,8.20%,20.10%,24.80%,51.20%,5.00%
Marvin Williams,MIL,34,8-Jun,237,North Carolina,USA,2005,1,2,52,6.1,2.8,1.1,-3.8,1.90%,12.60%,12.50%,58.50%,8.00%
Mason Plumlee,DEN,30,11-Jun,254,Duke,USA,2013,1,22,53,7.2,5.3,2.4,0.8,9.20%,19.90%,17.60%,61.50%,19.80%
Matisse Thybulle,PHI,23,5-Jun,201,Washington,USA,2019,1,20,57,4.7,1.5,1.2,1.7,3.00%,4.60%,11.10%,53.00%,8.50%
Matt Mooney,CLE,23,2-Jun,199,Texas Tech,USA,Undrafted,Undrafted,Undrafted,4,0.5,0.8,0.3,17.5,0.00%,15.80%,8.00%,25.00%,7.10%
Matt Thomas,TOR,25,4-Jun,190,Iowa State,USA,Undrafted,Undrafted,Undrafted,33,4.5,1.5,0.5,-0.2,1.80%,10.80%,15.50%,65.00%,8.50%
Matthew Dellavedova,CLE,29,3-Jun,200,St. Mary's (CA),Australia,Undrafted,Undrafted,Undrafted,57,3.1,1.3,3.2,-1.2,2.20%,6.70%,12.80%,46.30%,29.70%
Maurice Harkless,NYK,27,7-Jun,220,"St. John's, N.Y.",USA,2012,1,15,62,5.8,3.9,1.1,1.2,3.80%,11.70%,10.50%,57.20%,6.20%
Max Strus,CHI,24,5-Jun,215,None,USA,Undrafted,Undrafted,Undrafted,2,2.5,0.5,0,105.8,16.70%,0.00%,15.80%,72.70%,0.00%
Maxi Kleber,DAL,28,10-Jun,240,None,Germany,Undrafted,Undrafted,Undrafted,66,9.2,5.4,1.2,4.1,5.30%,14.00%,13.40%,60.30%,6.40%
Melvin Frazier Jr.,ORL,23,5-Jun,215,Tulane,USA,2018,2,35,15,1.2,0.3,0.1,-2.4,1.80%,5.80%,16.40%,48.00%,3.30%
Meyers Leonard,MIA,28,Jul-00,260,Illinois,USA,2012,1,11,49,6.1,5.1,1.1,5.6,2.90%,21.70%,12.00%,64.00%,7.60%
Mfiondu Kabengele,LAC,22,9-Jun,250,Florida State,Canada,2019,1,27,12,3.5,0.9,0.2,0.8,1.70%,15.90%,24.20%,61.40%,5.00%
Michael Carter-Williams,ORL,28,5-Jun,190,Syracuse,USA,2013,1,11,42,7.2,3.3,2.4,1.4,5.20%,12.40%,17.50%,53.90%,19.50%
Michael Frazier,HOU,26,3-Jun,200,Florida,USA,Undrafted,Undrafted,Undrafted,8,1.8,0.4,0.1,-15.5,1.40%,3.60%,10.00%,51.30%,2.40%
Michael Kidd-Gilchrist,DAL,26,6-Jun,232,Kentucky,USA,2012,1,2,21,2.5,2.6,0.6,2.7,4.60%,16.30%,14.30%,40.10%,9.00%
Michael Porter Jr.,DEN,22,10-Jun,218,Missouri,USA,2018,1,14,48,7.5,4.1,0.7,0.8,7.40%,21.60%,20.40%,58.90%,7.50%
Mikal Bridges,PHX,23,6-Jun,209,Villanova,USA,2018,1,10,65,8.7,4,1.8,1.7,3.30%,10.90%,12.20%,62.30%,9.00%
Mike Conley,UTA,32,1-Jun,175,Ohio State,USA,2007,1,4,41,13.8,3.2,4.3,1.6,2.30%,8.60%,22.20%,52.70%,23.50%
Mike Muscala,OKC,28,10-Jun,240,Bucknell,USA,2013,2,44,41,4.6,2.3,0.8,-2.6,2.60%,16.10%,15.80%,56.00%,10.40%
Mike Scott,PHI,31,7-Jun,237,Virginia,USA,2012,2,43,63,5.7,3.6,0.8,4.6,5.00%,14.70%,13.00%,53.90%,5.90%
Miles Bridges,CHA,22,6-Jun,225,Michigan State,USA,2018,1,12,65,13,5.6,1.8,-9.7,4.20%,13.80%,19.60%,52.00%,9.20%
Mitchell Robinson,NYK,22,Jul-00,240,None,USA,2018,2,36,61,9.7,7,0.6,-2.9,12.20%,16.00%,12.90%,72.60%,3.90%
Miye Oni,UTA,22,5-Jun,206,Yale,USA,2019,2,58,5,0,0.4,0,-68,0.00%,15.40%,10.00%,0.00%,0.00%
Mo Bamba,ORL,22,Jul-00,231,University of Texas at Austin,USA,2018,1,6,60,5.5,5,0.7,1.8,9.90%,21.70%,16.40%,54.90%,7.70%
Monte Morris,DEN,25,2-Jun,183,Iowa State,USA,2017,2,51,65,8.4,1.7,3.5,1.7,1.40%,6.30%,16.50%,53.70%,23.20%
Montrezl Harrell,LAC,26,7-Jun,240,Louisville,USA,2015,2,32,63,18.6,7.1,1.7,6.5,8.90%,14.10%,24.50%,60.70%,10.20%
Moritz Wagner,WAS,23,11-Jun,245,Michigan,Germany,2018,1,25,37,9.5,5.2,1.3,-1.5,6.80%,20.30%,18.10%,66.60%,10.30%
Moses Brown,POR,20,2-Jul,245,None,USA,Undrafted,Undrafted,Undrafted,9,1.2,1.6,0.1,-50.9,7.30%,32.40%,20.00%,40.70%,4.80%
Mychal Mulder,GSW,26,3-Jun,184,Kentucky,Canada,Undrafted,Undrafted,Undrafted,7,11,3.3,1.1,6.2,1.60%,9.30%,16.50%,53.30%,5.30%
Myles Turner,IND,24,11-Jun,250,Texas,USA,2015,1,11,55,11.8,6.5,1.1,0.9,4.30%,17.10%,17.40%,56.10%,5.40%
Nassir Little,POR,20,5-Jun,220,North Carolina,USA,2019,1,25,48,3.6,2.3,0.5,-3.2,4.80%,12.00%,13.10%,50.50%,5.00%
Naz Mitrou-Long,IND,26,3-Jun,218,Iowa State,Canada,Undrafted,Undrafted,Undrafted,3,4.7,2,2.3,20.9,0.00%,11.50%,17.30%,43.80%,25.00%
Naz Reid,MIN,20,9-Jun,264,None,USA,Undrafted,Undrafted,Undrafted,30,9,4.1,1.2,0.7,6.00%,17.60%,23.40%,50.50%,10.60%
Nemanja Bjelica,SAC,32,10-Jun,234,None,Serbia,2010,2,35,64,11.9,6.4,2.8,-2.2,5.80%,17.30%,17.10%,59.70%,14.00%
Nerlens Noel,OKC,26,10-Jun,220,Kentucky,USA,2013,1,6,55,7.7,4.9,1,1.8,8.30%,17.60%,15.20%,71.40%,8.10%
Nickeil Alexander-Walker,NOP,21,5-Jun,205,Virginia Tech,Canada,2019,1,17,41,5.1,2,1.8,-5.1,1.50%,13.50%,22.70%,44.10%,20.70%
Nicolas Batum,CHA,31,9-Jun,230,None,France,2008,1,25,22,3.6,4.5,3,-3.3,4.90%,14.60%,9.30%,46.30%,17.30%
Nicolas Claxton,BKN,21,11-Jun,215,Georgia,USA,2019,2,31,15,4.4,2.9,1.1,-15.6,9.00%,11.20%,14.40%,57.70%,14.20%
Nicolo Melli,NOP,29,9-Jun,236,None,Italy,Undrafted,Undrafted,Undrafted,52,6.8,3,1.3,-5.5,3.80%,13.40%,15.90%,58.30%,10.90%
Nigel Williams-Goss,UTA,25,2-Jun,190,Gonzaga,USA,2017,2,55,9,0.4,0.6,0.6,15.6,6.50%,8.60%,14.10%,25.40%,23.80%
Nikola Jokic,DEN,25,Jul-00,284,None,Serbia,2014,2,41,65,20.2,10.2,6.9,5.2,7.50%,24.40%,26.70%,60.40%,34.30%
Nikola Vucevic,ORL,29,11-Jun,260,USC,Montenegro,2011,1,16,54,19.5,11,3.7,-0.4,7.10%,27.00%,25.60%,54.00%,18.60%
Noah Vonleh,DEN,24,10-Jun,257,Indiana,USA,2014,1,9,33,3.8,3.7,0.8,-5.1,8.70%,20.80%,13.60%,62.10%,11.50%
Norman Powell,TOR,27,3-Jun,215,UCLA,USA,2015,2,46,44,16.4,3.7,1.8,6.7,1.80%,9.50%,21.00%,62.90%,9.40%
Norvel Pelle,PHI,27,10-Jun,231,None,USA,Undrafted,Undrafted,Undrafted,20,2.1,3,0.4,-16.4,8.50%,23.70%,12.60%,52.10%,5.60%
OG Anunoby,TOR,22,7-Jun,232,Indiana,United Kingdo...,2017,1,23,63,10.7,5.4,1.6,5.7,3.90%,13.40%,14.30%,59.80%,7.30%
Omari Spellman,MIN,22,8-Jun,245,Villanova,USA,2018,1,30,49,7.6,4.5,1,-8.5,7.60%,15.50%,17.70%,55.10%,8.60%
Oshae Brissett,TOR,22,7-Jun,210,None,Canada,Undrafted,Undrafted,Undrafted,19,1.9,1.4,0.4,11.6,6.30%,10.90%,14.50%,45.80%,7.40%
Otto Porter Jr.,CHI,27,8-Jun,198,Georgetown,USA,2013,1,3,14,11.9,3.4,1.8,3.2,3.60%,10.80%,20.10%,55.00%,11.30%
P.J. Tucker,HOU,35,5-Jun,245,Texas,USA,2006,2,35,64,7.1,6.9,1.6,3,4.20%,14.30%,8.60%,58.00%,6.00%
P.J. Washington,CHA,21,7-Jun,230,Kentucky,USA,2019,1,12,58,12.2,5.4,2.1,-6.3,3.20%,14.50%,18.40%,54.70%,11.50%
PJ Dozier,DEN,23,6-Jun,205,South Carolina,USA,Undrafted,Undrafted,Undrafted,21,4.1,1.4,1.4,-1.6,1.90%,10.10%,18.40%,44.90%,17.00%
Pascal Siakam,TOR,26,9-Jun,230,New Mexico State,Cameroon,2016,1,27,53,23.6,7.5,3.6,8.7,3.00%,16.60%,28.20%,55.90%,16.50%
Pat Connaughton,MIL,27,5-Jun,209,Notre Dame,USA,2015,2,41,61,5.1,4.2,1.6,4.3,4.60%,15.30%,11.50%,55.80%,11.20%
Patrick Beverley,LAC,31,1-Jun,180,Arkansas,USA,2009,2,42,48,7.9,5.4,3.7,9.7,4.10%,14.40%,12.90%,55.40%,18.20%
Patrick McCaw,TOR,24,7-Jun,181,UNLV,USA,2016,2,38,37,4.6,2.3,2.1,0.6,2.00%,6.80%,9.30%,50.00%,11.80%
Patrick Patterson,LAC,31,8-Jun,235,Kentucky,USA,2010,1,14,51,4.6,2.4,0.6,4.4,4.60%,13.80%,14.70%,57.60%,7.10%
Patty Mills,SAS,31,1-Jun,180,St. Mary's (CA),Australia,2009,2,55,63,11.7,1.6,1.8,3.6,1.30%,5.20%,19.30%,58.90%,11.10%
Paul George,LAC,30,8-Jun,220,Fresno State,USA,2010,1,10,42,21,5.7,3.9,8.3,1.80%,16.50%,29.20%,58.20%,20.80%
Paul Millsap,DEN,35,7-Jun,257,Louisiana Tech,USA,2006,2,47,44,12,5.9,1.6,11.3,8.00%,15.80%,20.00%,59.80%,9.10%
Paul Watson,TOR,25,6-Jun,210,Fresno State,USA,Undrafted,Undrafted,Undrafted,5,0.2,0.8,1,14,0.00%,14.30%,12.30%,5.60%,23.80%
Quinn Cook,LAL,27,1-Jun,180,Duke,USA,Undrafted,Undrafted,Undrafted,38,4.8,1.1,1.1,8.8,1.60%,7.10%,20.10%,51.70%,14.00%
Quinndary Weatherspoon,SAS,23,3-Jun,205,Mississippi State,USA,2019,2,49,3,0,0.3,0.3,14.5,0.00%,5.60%,8.60%,0.00%,9.10%
RJ Barrett,NYK,20,6-Jun,214,Duke,Canada,2019,1,3,56,14.3,5,2.6,-9.1,2.70%,13.40%,23.40%,47.90%,12.70%
Rajon Rondo,LAL,34,1-Jun,180,Kentucky,USA,2006,1,21,48,7.1,3,5,1.4,2.20%,11.90%,18.40%,49.40%,34.00%
Raul Neto,PHI,28,1-Jun,180,None,Brazil,2013,2,47,49,4.3,1.1,1.6,1.8,1.90%,6.90%,17.20%,56.20%,21.40%
Rayjon Tucker,UTA,22,3-Jun,209,None,USA,Undrafted,Undrafted,Undrafted,14,1.4,0.9,0.1,-3.5,2.30%,15.70%,12.40%,44.80%,3.20%
Reggie Bullock,NYK,29,6-Jun,205,North Carolina,USA,2013,1,25,29,8.1,2.3,1.4,-5.8,1.80%,8.20%,15.30%,50.20%,8.70%
Reggie Jackson,LAC,30,3-Jun,208,Boston College,USA,2011,1,24,23,12.8,2.9,4.4,7.4,2.70%,8.80%,24.00%,53.30%,28.50%
Richaun Holmes,SAC,26,10-Jun,235,Bowling Green,USA,2015,2,37,39,12.8,8.3,1,1.6,10.30%,18.70%,15.90%,68.50%,5.30%
Ricky Rubio,PHX,29,3-Jun,190,None,Spain,2009,1,5,57,13.1,4.6,8.9,3.8,2.30%,12.40%,19.70%,53.10%,37.80%
Robert Covington,HOU,29,7-Jun,209,Tennessee State,USA,Undrafted,Undrafted,Undrafted,62,12.8,6.4,1.2,0.1,2.70%,17.70%,17.40%,57.10%,5.80%
Robert Williams III,BOS,22,8-Jun,237,Texas A&M,USA,2018,1,27,23,4.3,4.7,1,1.2,10.20%,21.40%,12.20%,67.10%,9.70%
Robin Lopez,MIL,32,Jul-00,281,Stanford,USA,2008,1,15,60,5.5,2.4,0.7,2.6,5.60%,9.10%,16.00%,56.50%,6.80%
Rodions Kurucs,BKN,22,9-Jun,228,None,Latvia,2018,2,40,39,4.2,2.5,0.8,-2.3,3.20%,13.20%,14.50%,55.40%,9.50%
Rodney Hood,POR,27,8-Jun,208,Duke,USA,2014,1,23,21,11,3.4,1.5,0.6,1.50%,9.20%,13.70%,62.50%,6.80%
Rodney McGruder,LAC,28,4-Jun,205,Kansas State,USA,Undrafted,Undrafted,Undrafted,50,3.2,2.6,0.6,0.7,3.30%,12.00%,10.00%,47.20%,5.20%
Romeo Langford,BOS,20,4-Jun,216,Indiana,USA,2019,1,14,27,2.6,1.2,0.2,8.5,4.30%,5.70%,11.60%,46.50%,2.60%
Rondae Hollis-Jefferson,TOR,25,6-Jun,217,Arizona,USA,2015,1,23,52,7.2,4.9,1.7,5.1,9.10%,14.10%,16.40%,53.30%,13.50%
Royce O'Neale,UTA,27,4-Jun,226,Baylor,USA,Undrafted,Undrafted,Undrafted,64,6.3,5.3,2.5,5.4,1.20%,15.90%,9.20%,58.40%,11.50%
Rudy Gay,SAS,33,8-Jun,250,Connecticut,USA,2006,1,8,60,10,5.4,1.7,-0.9,4.20%,19.50%,20.60%,54.50%,11.60%
Rudy Gobert,UTA,28,1-Jul,258,None,France,2013,1,27,62,15.1,13.7,1.5,6.1,10.40%,27.90%,16.10%,70.00%,6.50%
Rui Hachimura,WAS,22,8-Jun,230,Gonzaga,Japan,2019,1,9,41,13.4,6,1.7,-7.8,4.90%,15.90%,18.60%,54.30%,8.30%
Russell Westbrook,HOU,31,3-Jun,200,UCLA,USA,2008,1,4,53,27.5,8,7,3.6,4.40%,16.00%,33.00%,53.90%,33.80%
Ryan Anderson,HOU,32,9-Jun,240,California,USA,2008,1,21,2,2.5,3.5,1,21.2,0.00%,46.70%,24.20%,35.70%,16.70%
Ryan Arcidiacono,CHI,26,3-Jun,195,Villanova,USA,Undrafted,Undrafted,Undrafted,58,4.5,1.9,1.7,-4,1.90%,9.80%,12.10%,55.10%,14.30%
Ryan Broekhoff,PHI,29,6-Jun,215,None,Australia,Undrafted,Undrafted,Undrafted,17,4.2,2.5,0.6,2.1,2.50%,20.20%,15.50%,56.80%,8.30%
Sekou Doumbouya,DET,19,8-Jun,230,None,Guinea,2019,1,15,38,6.4,3.1,0.5,-10.8,2.60%,13.70%,16.40%,47.40%,3.70%
Semi Ojeleye,BOS,25,6-Jun,240,Southern Methodist,USA,2017,2,37,61,3.1,2,0.5,-0.4,2.50%,10.30%,8.60%,55.70%,4.90%
Serge Ibaka,TOR,30,Jul-00,235,None,Democratic Re...,2008,1,24,50,16,8.3,1.5,4.5,7.30%,20.20%,23.70%,59.30%,8.70%
Seth Curry,DAL,29,2-Jun,185,Duke,USA,Undrafted,Undrafted,Undrafted,59,12.6,2.4,2,4.7,1.70%,7.20%,17.80%,65.00%,12.30%
Shabazz Napier,WAS,28,Jun-00,175,Connecticut,USA,2014,1,24,51,10.3,2.9,5,-2.6,1.80%,10.00%,19.20%,55.50%,30.70%
Shai Gilgeous-Alexander,OKC,21,5-Jun,180,Kentucky,Canada,2018,1,11,63,19.3,6.1,3.3,3.7,2.10%,14.90%,23.50%,56.60%,14.40%
Shake Milton,PHI,23,5-Jun,205,Southern Methodist,USA,2018,2,54,32,9.5,2.1,2.2,1.4,1.80%,9.50%,19.40%,63.30%,17.00%
Shamorie Ponds,HOU,22,1-Jun,180,None,USA,Undrafted,Undrafted,Undrafted,4,2.3,0.3,0.5,-5.5,0.00%,16.70%,22.20%,76.50%,40.00%
Shaquille Harrison,CHI,26,7-Jun,190,Tulsa,USA,Undrafted,Undrafted,Undrafted,43,4.9,2,1.1,6.8,4.20%,13.90%,17.60%,55.90%,14.70%
Skal Labissiere,ATL,24,10-Jun,235,Kentucky,Haiti,2016,1,28,33,5.8,5.1,1.3,1.3,10.50%,15.50%,13.90%,58.80%,10.60%
Solomon Hill,MIA,29,6-Jun,226,Arizona,USA,2013,1,23,54,5.4,2.9,1.8,-1.6,2.70%,12.00%,13.20%,54.20%,12.60%
Spencer Dinwiddie,BKN,27,5-Jun,215,Colorado,USA,2014,2,38,64,20.6,3.5,6.8,1.1,1.50%,8.50%,28.70%,54.10%,34.40%
Stanley Johnson,TOR,24,6-Jun,242,Arizona,USA,2015,1,8,20,1.2,1.1,0.4,-4.9,2.80%,16.20%,17.70%,34.20%,12.90%
Stanton Kidd,UTA,28,6-Jun,216,Colorado State,USA,Undrafted,Undrafted,Undrafted,4,0,0.8,0.3,2.3,0.00%,15.80%,13.90%,0.00%,10.00%
Stephen Curry,GSW,32,3-Jun,185,Davidson,USA,2009,1,7,5,20.8,5.2,6.6,-15.3,2.30%,16.20%,28.60%,55.70%,35.50%
Sterling Brown,MIL,25,5-Jun,219,Southern Methodist,USA,2017,2,46,45,5,3.7,1,5.3,3.90%,17.30%,16.00%,47.80%,9.60%
Steven Adams,OKC,26,11-Jun,265,Pittsburgh,New Zealand,2013,1,12,58,10.9,9.4,2.4,4.4,13.00%,21.10%,16.60%,60.50%,13.20%
Svi Mykhailiuk,DET,23,7-Jun,205,Kansas,Ukraine,2018,2,47,56,9,1.9,1.9,-0.6,1.30%,7.10%,16.50%,57.80%,12.00%
T.J. McConnell,IND,28,1-Jun,190,Arizona,USA,Undrafted,Undrafted,Undrafted,63,6.5,2.6,5,0.7,2.70%,10.40%,16.50%,54.10%,35.60%
T.J. Warren,IND,26,8-Jun,220,North Carolina State,USA,2014,1,14,61,18.7,4,1.4,1.4,3.10%,8.80%,22.40%,59.90%,7.00%
TJ Leaf,IND,23,10-Jun,222,UCLA,USA,2017,1,18,25,2.9,2.6,0.2,-1.8,9.90%,18.40%,17.00%,48.50%,4.50%
Tacko Fall,BOS,24,5-Jul,311,None,Senegal,Undrafted,Undrafted,Undrafted,6,3.2,1.8,0,12.7,0.00%,36.70%,28.10%,71.30%,0.00%
Taj Gibson,NYK,35,9-Jun,232,USC,USA,2009,1,26,62,6.1,4.3,0.8,-12.5,9.80%,15.80%,14.50%,61.00%,7.70%
Talen Horton-Tucker,LAL,19,4-Jun,234,Iowa State,USA,2019,2,46,2,0,0,1,-64.4,0.00%,0.00%,10.00%,0.00%,100%
Tariq Owens,PHX,25,10-Jun,205,Texas Tech,USA,Undrafted,Undrafted,Undrafted,3,1.3,1,0,-43.4,10.50%,6.70%,17.10%,34.00%,0.00%
Taurean Prince,BKN,26,7-Jun,218,Baylor,USA,2016,1,12,64,12.1,6,1.8,1.3,2.40%,16.20%,20.00%,49.70%,9.00%
Terance Mann,LAC,23,5-Jun,215,Florida State,USA,2019,2,48,35,1.6,0.9,1.1,1.2,1.40%,9.80%,10.90%,47.20%,18.50%
Terence Davis,TOR,23,4-Jun,201,None,USA,Undrafted,Undrafted,Undrafted,64,7.7,3.4,1.7,10,4.10%,13.90%,18.00%,59.80%,14.50%
Terrance Ferguson,OKC,22,6-Jun,190,None,USA,2017,1,21,50,4.2,1.5,0.9,-3,2.10%,4.10%,9.10%,50.40%,5.20%
Terrence Ross,ORL,29,6-Jun,206,Washington,USA,2012,1,8,63,14.8,3.2,1.2,-2.8,0.70%,10.70%,21.70%,54.80%,7.20%
Terry Rozier,CHA,26,1-Jun,190,Louisville,USA,2015,1,16,63,18,4.4,4.1,-9,2.20%,10.70%,23.20%,55.30%,20.90%
Thabo Sefolosha,HOU,36,6-Jun,215,None,Switzerland,2006,1,13,41,2.2,2.3,0.6,3.9,4.30%,15.20%,10.00%,48.70%,7.40%
Thaddeus Young,CHI,32,8-Jun,235,Georgia Tech,USA,2007,1,12,64,10.3,4.9,1.8,-6.2,5.40%,14.50%,19.20%,52.10%,11.30%
Thanasis Antetokounmpo,MIL,27,6-Jun,219,None,Greece,2014,2,51,18,2.5,1.1,0.5,-12.6,11.00%,7.30%,21.90%,52.80%,15.80%
Theo Pinson,NYK,24,5-Jun,212,None,USA,Undrafted,Undrafted,Undrafted,33,3.6,1.6,1.7,-4.6,2.40%,10.10%,21.80%,37.00%,24.00%
Thomas Bryant,WAS,22,10-Jun,248,Indiana,USA,2017,2,42,38,12.1,6.8,1.9,-7,8.10%,20.20%,18.00%,65.90%,11.20%
Thon Maker,DET,23,Jul-00,221,None,South Sudan,2016,1,10,60,4.7,2.8,0.7,-8,6.90%,15.20%,16.00%,58.20%,8.80%
Tim Frazier,DET,29,Jun-00,170,None,USA,Undrafted,Undrafted,Undrafted,27,3.6,1.2,3.4,-6.9,2.40%,7.10%,17.10%,46.40%,39.10%
Tim Hardaway Jr.,DAL,28,5-Jun,205,Michigan,USA,2013,1,24,63,15.8,3.1,2,8,1.20%,8.60%,20.90%,58.10%,10.00%
Timothe Luwawu-Cabarrot,BKN,25,7-Jun,220,None,France,2016,1,24,39,6.3,2.3,0.6,-3.8,3.10%,8.50%,15.30%,56.30%,5.80%
Tobias Harris,PHI,27,8-Jun,226,Tennessee,USA,2011,1,19,65,19.4,6.8,3.2,3,2.40%,17.10%,23.40%,55.70%,14.50%
Tomas Satoransky,CHI,28,7-Jun,210,None,Czech Republi...,2012,2,32,65,9.9,3.9,5.4,-1.5,4.00%,10.10%,16.50%,53.30%,26.90%
Tony Bradley,UTA,22,10-Jun,248,North Carolina,USA,2017,1,28,50,4.7,4.3,0.3,3.3,16.00%,22.00%,15.00%,67.50%,4.60%
Tony Snell,DET,28,6-Jun,213,,USA,2013,1,20,59,8,1.9,2.2,-5.5,0.50%,6.40%,11.00%,59.80%,11.00%
Torrey Craig,DEN,29,7-Jun,221,South Carolina Upstate,USA,Undrafted,Undrafted,Undrafted,50,5,3.1,0.7,-5.4,5.40%,12.20%,11.80%,55.90%,5.50%
Trae Young,ATL,21,1-Jun,180,Oklahoma,USA,2018,1,5,60,29.6,4.3,9.3,-4.9,1.40%,10.00%,33.90%,59.50%,42.30%
Tremont Waters,BOS,22,10-May,175,Louisiana State,USA,2019,2,51,10,3.3,0.9,1.2,14.8,0.00%,8.90%,21.60%,43.80%,18.50%
Treveon Graham,ATL,26,5-Jun,219,Va Commonwealth,USA,Undrafted,Undrafted,Undrafted,55,4.4,2.7,0.8,-6.2,5.00%,9.90%,13.00%,45.60%,6.90%
Trevor Ariza,POR,35,8-Jun,215,UCLA,USA,2004,2,43,53,8,4.6,1.7,-0.3,2.20%,13.70%,11.70%,59.30%,8.10%
Trey Burke,DAL,27,Jun-00,185,Michigan,USA,2013,1,9,25,5.9,1.4,2.1,4.8,4.50%,6.10%,18.80%,54.50%,23.80%
Trey Lyles,SAS,24,9-Jun,234,Kentucky,USA,2015,1,12,63,6.4,5.7,1.1,-2.4,5.60%,22.80%,13.60%,55.70%,7.20%
Tristan Thompson,CLE,29,9-Jun,254,Texas,Canada,2011,1,4,57,12,10.1,2.1,-10.1,12.60%,20.70%,18.10%,54.00%,10.60%
Troy Brown Jr.,WAS,20,6-Jun,215,Oregon,USA,2018,1,15,61,9.7,5.3,2.3,-4.8,3.90%,17.10%,16.60%,53.40%,13.10%
Troy Daniels,DEN,28,4-Jun,200,Va Commonwealth,USA,Undrafted,Undrafted,Undrafted,42,4.1,1.1,0.3,0,2.40%,6.70%,15.50%,52.40%,4.50%
Ty Jerome,PHX,22,5-Jun,195,Virginia,USA,2019,1,24,28,3.5,1.5,1.5,-14.9,1.70%,11.50%,16.60%,43.70%,22.50%
Tyler Cook,DEN,22,8-Jun,255,None,USA,Undrafted,Undrafted,Undrafted,11,1.7,0.9,0.1,-12.5,10.50%,18.80%,16.90%,75.20%,5.00%
Tyler Herro,MIA,20,5-Jun,195,Kentucky,USA,2019,1,13,47,12.9,4,1.9,-1.7,1.10%,12.60%,21.00%,53.40%,11.60%
Tyler Johnson,BKN,28,3-Jun,186,Fresno State,USA,Undrafted,Undrafted,Undrafted,31,5.7,1.7,1.6,-8.1,1.80%,7.60%,16.90%,48.10%,14.90%
Tyrone Wallace,MIN,26,5-Jun,198,California,USA,2016,2,60,14,2.9,1.6,0.9,-8.3,1.60%,12.30%,15.40%,38.90%,12.30%
Tyson Chandler,HOU,37,Jul-00,235,None,USA,2001,1,2,26,1.3,2.5,0.2,5.7,9.70%,17.20%,5.70%,71.70%,3.70%
Tyus Jones,MEM,24,Jun-00,196,Duke,USA,2015,1,24,65,7.4,1.6,4.4,-2.3,0.70%,7.10%,16.50%,53.20%,31.40%
Udonis Haslem,MIA,40,8-Jun,235,Florida,USA,Undrafted,Undrafted,Undrafted,3,1.7,2.7,0.3,-30.6,0.00%,42.10%,18.20%,32.20%,10.00%
Vic Law,ORL,24,7-Jun,201,Northwestern,USA,Undrafted,Undrafted,Undrafted,5,0,0.2,0,-19.9,0.00%,11.10%,16.00%,0.00%,0.00%
Victor Oladipo,IND,28,4-Jun,213,Indiana,USA,2013,1,2,13,13.8,3.2,3,-0.5,2.10%,9.40%,26.50%,50.00%,17.60%
Vince Carter,ATL,43,6-Jun,220,North Carolina,USA,1998,1,5,60,5,2.1,0.8,-8.1,1.90%,11.40%,16.30%,47.00%,8.10%
Vincent Poirier,BOS,26,Jul-00,235,None,France,Undrafted,Undrafted,Undrafted,21,1.9,1.6,0.3,-3.8,8.70%,18.00%,14.70%,54.00%,8.40%
Vlatko Cancar,DEN,23,8-Jun,236,None,Slovenia,2017,2,49,14,1.2,0.7,0.2,-6,10.90%,11.90%,17.70%,50.70%,8.60%
