PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,Rk,Unnamed: 2,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Sviatoslav Mykhailiuk,SG-SF,8.45%,8.25,9.5,78.5,6' 7.75'',8' 4'',211.6,76.75,354,mykhasv01,SF,22,DET,56,27,1265,166,405,0.41,115,285,0.40399999999999997,51,120,0.425,0.552,57,70,0.8140000000000001,17,87,104,106,41,4,61,87,504
T.J. Warren,SF,7.95%,8.75,9,79.0,6' 8.25'',8' 8'',220.2,82.25,486,warretj01,SF,26,IND,61,61,1984,460,869,0.529,69,184,0.375,391,685,0.5710000000000001,0.569,151,186,0.812,61,181,242,87,70,27,77,170,1140
Taj Gibson,PF,6.60%,-,-,80.5,6' 9.75'',9' 1'',214.4,88.0,168,gibsota01,C,34,NYK,62,56,1025,167,286,0.584,4,14,0.28600000000000003,163,272,0.599,0.591,41,56,0.732,111,156,267,52,27,30,47,122,379
Taurean Prince,SF,6.45%,9,8.5,78.5,6' 7.75'',8' 6'',220.2,83.5,483,princta02,SF,25,BRK,64,61,1857,278,739,0.376,146,431,0.33899999999999997,132,308,0.429,0.475,71,89,0.7979999999999999,50,331,381,116,57,25,127,159,773
Terance Mann,SG-SF,4.00%,9.5,9.25,76.75,6' 6.5'',8' 5'',204.6,79.75,305,mannte01,SG,23,LAC,35,6,271,22,54,0.40700000000000003,3,12,0.25,19,42,0.452,0.435,9,12,0.75,4,29,33,38,8,5,14,36,56
Terence Davis,SG,4.10%,9.25,10.75,75.0,6' 4.5'',8' 5'',192.4,80.75,120,daviste02,SG,22,TOR,64,2,1087,181,391,0.46299999999999997,88,222,0.396,93,169,0.55,0.575,45,52,0.865,46,171,217,107,32,12,65,104,495
Terrance Ferguson,SG-SF,5.80%,8.5,10,77.5,6' 7'',8' 7'',184.4,80.75,149,fergute01,SF,21,OKC,50,37,1170,74,199,0.37200000000000005,46,155,0.297,28,44,0.636,0.48700000000000004,15,19,0.789,23,50,73,45,26,16,30,144,209
Terrence Ross,SG-SF,3.20%,8.75,10.25,78.0,6' 7'',8' 4.5'',196.6,79.25,420,rosste01,SG,28,ORL,63,0,1723,316,777,0.40700000000000003,162,454,0.35700000000000004,154,323,0.47700000000000004,0.511,136,161,0.845,13,190,203,74,69,22,62,95,930
Terry Rozier,PG-SG,5.60%,8.25,8.5,72.5,6' 2.25'',8' 2.5'',190.2,80.25,421,roziete01,PG,25,CHO,63,63,2164,398,941,0.423,172,423,0.40700000000000003,226,518,0.436,0.514,166,190,0.8740000000000001,50,226,276,259,61,10,141,126,1134
Thaddeus Young,SF,4.90%,-,-,77.75,6' 7.5'',8' 10'',210,83.5,510,youngth01,PF,31,CHI,64,16,1591,269,601,0.44799999999999995,79,222,0.35600000000000004,190,379,0.501,0.513,42,72,0.583,94,221,315,117,92,23,102,134,659
